"county","total_itop","asian_itop","hispanic_itop","white_itop","black_itop","native_american_itop","other_itop","year","tot_pop","urban","total_rate","white_rate","black_rate","hispanic_rate","asian_rate","native_american_rate","other_rate"
"Gillespie",20,0,6,13,0,0,1,2020,13807,"Rural",1.44854059535018,1.25506854605136,0,2.08550573514077,0,0,2.26757369614512
"Glasscock",1,0,0,1,0,0,0,2020,537,"Rural",1.86219739292365,2.93255131964809,0,0,0,0,0
"Goliad",2,0,2,0,0,0,0,2020,3547,"Rural",0.563856780377784,0,0,1.72562553925798,0,0,0
"Gonzales",19,0,5,10,4,0,0,2020,9869,"Rural",1.92522038707063,2.3696682464455,7.70712909441233,1.02438024994878,0,0,0
"Gray",4,0,2,2,0,0,0,2020,10054,"Rural",0.397851601352695,0.311332503113325,0,0.69759330310429,0,0,0
"Grayson",153,1,26,88,36,0,1,2020,69368,"Urban",2.20562795525314,1.79584506754826,9.57701516360734,2.50024040773151,0.980392156862745,0,0.237079184447606
"Gregg",199,4,22,72,93,3,4,2020,64235,"Urban",3.09799953296489,2.02925509427581,6.96212007785597,1.89003436426117,4.69483568075117,13.3333333333333,1.49309443822322
"Grimes",40,1,7,19,13,0,0,2020,13431,"Rural",2.97818479636661,2.39475674313083,8.19155639571519,2.11992731677771,16.6666666666667,0,0
"Guadalupe",193,0,74,93,25,0,0,2020,87955,"Urban",2.19430390540617,2.18156228008445,4.27423491195076,2.22670237414618,0,0,0
"Hale",32,1,12,7,12,0,0,2020,15831,"Rural",2.02135051481271,1.31777108433735,21.4285714285714,1.26568927328341,14.9253731343284,0,0
"Hall",1,0,0,1,0,0,0,2020,1429,"Rural",0.699790062981106,1.20336943441637,0,0,0,0,0
"Hamilton",4,1,0,3,0,0,0,2020,4175,"Rural",0.958083832335329,0.87361677344205,0,0,38.4615384615385,0,0
"Hansford",0,0,0,0,0,0,0,2020,2662,"Rural",0,0,0,0,0,0,0
"Hardeman",4,0,2,0,2,0,0,2020,1782,"Rural",2.24466891133558,0,25.3164556962025,4.90196078431373,0,0,0
"Hardin",50,0,5,36,8,0,1,2020,28638,"Urban",1.74593197849012,1.50873810821005,5.05050505050505,2.93427230046948,0,0,0.865051903114187
"Harris",14086,613,5546,2463,5403,10,23,2020,2400848,"Urban",5.86709362691849,3.75476205357891,11.4399808592584,5.47010233016891,3.44839225039941,2.33699462491236,0.299979131886477
"Harrison",102,1,17,29,49,0,6,2020,35205,"Urban",2.89731572219855,1.36092730771036,6.87429854096521,3.48646431501231,3.690036900369,0,4.12654745529574
"Hartley",2,1,0,1,0,0,0,2020,2271,"Rural",0.880669308674593,0.611995104039168,0,0,111.111111111111,0,0
"Haskell",4,0,2,2,0,0,0,2020,2588,"Rural",1.54559505409583,1.11049416990561,0,3.32225913621262,0,0,0
"Hays",530,15,244,184,46,2,7,2020,122717,"Urban",4.31888002477244,2.98710997110296,10.7201118620368,5.1499609531649,5.85708707536119,6.32911392405063,1.06512477175898
"Hemphill",0,0,0,0,0,0,0,2020,1701,"Rural",0,0,0,0,0,0,0
"Henderson",65,3,12,45,3,1,1,2020,41767,"Rural",1.55625254387435,1.42360012654223,1.27496812579686,2.15827338129496,10.1694915254237,5.78034682080925,0.563063063063063
"Hidalgo",1081,12,870,187,10,1,0,2020,447177,"Urban",2.41738729854174,7.23908330752555,8.84173297966401,2.10704260827656,2.67677894267232,3.06748466257669,0
"Hill",25,1,11,7,5,0,1,2020,18014,"Rural",1.38780948151438,0.573488448304113,4.97017892644135,2.86757038581856,8.06451612903226,0,1.30718954248366
"Hockley",6,0,4,2,0,0,0,2020,10972,"Rural",0.546846518410499,0.40016006402561,0,0.745156482861401,0,0,0
"Hood",44,1,10,30,2,0,0,2020,31519,"Rural",1.39598337510708,1.16813332294993,9.00900900900901,2.57864878803507,3.7593984962406,0,0
"Hopkins",26,2,5,13,5,0,1,2020,18773,"Rural",1.38496777286529,0.97029407374235,4.14593698175788,1.58579130986362,12.5,0,1.32450331125828
"Houston",15,0,3,8,4,0,0,2020,10137,"Rural",1.47972773009766,1.27145581691036,1.73686495874946,2.72479564032698,0,0,0
"Howard",25,0,8,13,4,0,0,2020,15173,"Rural",1.64766361299677,1.68721609344581,6.49350649350649,1.3001787745815,0,0,0
"Hudspeth",0,0,0,0,0,0,0,2020,1518,"Rural",0,0,0,0,0,0,0
"Hunt",95,0,21,52,22,0,0,2020,50646,"Urban",1.87576511471785,1.56067108856808,5.4590570719603,2.19046625638886,0,0,0
"Hutchinson",3,0,1,1,1,0,0,2020,10371,"Rural",0.289268151576511,0.144341801385681,5.49450549450549,0.407166123778502,0,0,0
"Irion",1,0,0,1,0,0,0,2020,757,"Rural",1.32100396301189,1.76991150442478,0,0,0,0,0
"Jack",5,0,0,5,0,0,0,2020,3764,"Rural",1.32837407013815,1.66833500166833,0,0,0,0,0
"Jackson",13,0,5,7,1,0,0,2020,7555,"Rural",1.72071475843812,1.62942271880819,1.96078431372549,2.08333333333333,0,0,0
"Jasper",44,0,2,22,18,0,0,2020,16730,"Rural",2.63000597728631,1.81533129796188,6.36492220650636,1.91938579654511,0,0,0
"Jeff Davis",1,0,0,0,1,0,0,2020,1003,"Rural",0.997008973080758,0,Inf,0,0,0,0
"Jefferson",482,12,102,99,269,0,0,2020,125579,"Urban",3.83822135866666,2.09865813071036,6.31841029736459,3.80398299395838,2.44498777506112,0,0
"Jim Hogg",6,0,5,1,0,0,0,2020,2483,"Rural",2.41643173580346,5.18134715025907,0,2.25631768953069,0,0,0
"Jim Wells",50,0,31,19,0,0,0,2020,19876,"Rural",2.51559669953713,5.34608891389983,0,1.9588019714394,0,0,0
"Johnson",183,2,48,116,15,1,1,2020,90166,"Urban",2.02958986757758,1.91574045019901,4.97842681712579,2.33021020437885,2.37529691211401,2.37529691211401,0.210970464135021
"Jones",8,0,1,6,1,0,0,2020,7417,"Urban",1.07860320884455,1.16234017822549,4.95049504950495,0.594883997620464,0,0,0
